x;y;species;dbh;height;age
11.26;7.73;fasy;2.96;0.54;1.00
82.13;8.46;piab;1.56;0.70;1.00
72.75;30.41;piab;2.63;0.30;1.00
89.93;33.10;fasy;1.28;0.72;1.00
74.22;66.77;piab;2.94;0.61;1.00
26.40;7.01;fasy;1.63;0.48;1.00
30.06;63.98;piab;2.23;0.74;1.00
37.53;35.18;piab;2.08;0.46;1.00
27.84;11.35;piab;1.74;0.99;1.00
2.93;70.64;piab;1.82;0.93;1.00
5.98;97.09;fasy;1.04;0.95;1.00
75.97;87.40;piab;1.72;0.61;1.00
12.45;12.37;piab;1.21;0.83;1.00
14.20;35.94;piab;2.22;0.87;1.00
32.81;22.27;piab;1.73;0.60;1.00
40.70;91.72;piab;1.44;0.99;1.00
19.87;99.36;fasy;1.87;0.71;1.00
15.52;90.53;fasy;2.59;0.76;1.00
85.96;95.68;piab;2.49;0.46;1.00
48.70;21.89;fasy;1.92;0.98;1.00
42.25;69.49;piab;2.39;0.94;1.00
8.78;26.56;fasy;2.91;0.46;1.00
29.91;11.48;piab;2.02;0.88;1.00
75.24;38.07;piab;1.14;0.42;1.00
11.01;74.47;fasy;1.60;0.72;1.00
77.50;85.88;fasy;2.49;0.93;1.00
38.64;3.03;fasy;2.30;0.62;1.00
25.82;65.75;piab;2.31;0.63;1.00
28.01;85.57;piab;1.59;0.64;1.00
75.87;36.66;fasy;1.12;0.30;1.00
94.08;96.99;piab;1.05;0.71;1.00
61.34;38.41;fasy;1.44;0.32;1.00
80.97;73.65;fasy;2.47;0.56;1.00
56.01;42.14;piab;1.96;0.45;1.00
66.44;32.47;fasy;1.42;0.91;1.00
24.40;70.39;piab;1.35;0.75;1.00
47.81;41.58;fasy;2.54;0.54;1.00
93.37;80.16;piab;1.37;0.42;1.00
88.25;74.77;piab;1.49;0.46;1.00
61.37;8.24;piab;2.65;0.50;1.00
88.71;58.04;piab;1.97;0.56;1.00
70.15;3.84;fasy;1.49;0.47;1.00
20.28;90.34;fasy;1.66;0.43;1.00
81.53;94.28;fasy;1.10;0.87;1.00
23.08;72.34;piab;1.69;0.61;1.00
99.76;97.80;fasy;1.85;0.50;1.00
80.58;95.16;fasy;1.01;0.39;1.00
55.86;36.76;piab;2.91;0.62;1.00
52.85;49.78;fasy;2.43;0.32;1.00
74.51;71.27;fasy;1.03;0.71;1.00
30.28;35.74;fasy;2.05;0.82;1.00
43.71;67.72;piab;2.37;0.65;1.00
21.68;49.56;piab;1.77;0.50;1.00
10.38;5.37;piab;1.59;0.48;1.00
65.91;23.61;piab;1.63;0.59;1.00
50.32;18.30;fasy;2.93;0.75;1.00
19.22;31.61;fasy;2.94;0.43;1.00
43.19;71.25;fasy;2.95;0.43;1.00
86.13;32.26;piab;1.50;0.60;1.00
43.58;34.93;piab;2.65;0.45;1.00
83.08;4.94;fasy;1.96;0.71;1.00
32.97;92.56;fasy;2.58;0.98;1.00
87.43;85.66;fasy;2.48;0.43;1.00
91.85;40.44;fasy;2.05;0.36;1.00
48.31;62.72;fasy;1.08;0.80;1.00
77.27;18.20;piab;2.28;0.54;1.00
44.57;4.26;fasy;2.04;0.96;1.00
52.53;87.91;fasy;1.36;0.73;1.00
13.97;76.90;fasy;2.41;0.47;1.00
39.21;75.42;piab;1.74;0.51;1.00
57.07;67.25;piab;1.40;0.51;1.00
58.36;94.52;piab;1.79;0.94;1.00
35.43;94.84;piab;1.79;0.95;1.00
53.76;72.76;fasy;1.50;0.51;1.00
88.33;36.45;fasy;1.40;0.67;1.00
79.09;1.50;fasy;2.04;0.63;1.00
50.15;3.64;piab;1.67;0.40;1.00
38.54;99.11;piab;1.50;0.39;1.00
55.74;96.52;fasy;1.39;0.89;1.00
20.24;88.58;piab;2.46;0.35;1.00
83.72;15.77;fasy;2.46;0.70;1.00
58.42;31.18;fasy;1.85;0.56;1.00
32.14;93.91;piab;1.01;0.95;1.00
9.70;71.22;piab;1.83;0.88;1.00
21.02;47.73;piab;1.64;0.52;1.00
38.83;75.20;fasy;2.29;0.39;1.00
53.86;90.19;piab;1.74;0.53;1.00
40.92;4.36;fasy;1.19;0.55;1.00
37.23;39.56;piab;1.36;0.35;1.00
39.69;4.25;piab;2.43;0.32;1.00
47.71;36.57;fasy;2.79;0.60;1.00
82.75;68.55;piab;1.18;0.95;1.00
57.59;75.00;piab;2.91;0.97;1.00
17.91;36.27;piab;1.57;0.72;1.00
54.48;95.42;fasy;2.19;0.90;1.00
0.50;75.20;fasy;2.15;0.83;1.00
72.64;84.07;piab;2.61;0.80;1.00
7.57;99.02;fasy;2.64;0.95;1.00
68.26;42.62;piab;1.95;0.54;1.00
59.42;45.25;fasy;1.02;0.87;1.00
